,Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes,convertion
19,True,2023-09-13 23:44:14,16.9653516,82.2285366,40,7.0 km/h,"16.965352°, 82.228537°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=4.7  power=0.0  battery=3.8360000000000003  io68=0  operator=40449  odometer=135  distance=53.56  totalDistance=1.838455155E7,7.0
20,True,2023-09-13 23:44:24,16.9653583,82.2284233,38,6.0 km/h,"16.965358°, 82.228423°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=4.7  power=0.0  battery=3.822  io68=0  operator=40449  odometer=148  distance=12.09  totalDistance=1.838442868E7,6.0
21,True,2023-09-13 23:44:24,16.9653583,82.2284233,38,6.0 km/h,"16.965358°, 82.228423°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=4.7  power=0.0  battery=3.822  io68=0  operator=40449  odometer=148  distance=65.41  totalDistance=1.83845634E7,6.0
22,True,2023-09-13 23:44:25,16.9653583,82.2284233,38,0.0 km/h,"16.965358°, 82.228423°",priority=0  sat=4  event=240  ignition=false  motion=false  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=4.7  power=0.0  battery=3.809  io68=0  operator=40449  odometer=148  distance=0.0  totalDistance=1.838442868E7,0.0
23,True,2023-09-13 23:44:25,16.9653583,82.2284233,38,0.0 km/h,"16.965358°, 82.228423°",priority=0  sat=4  event=240  ignition=false  motion=false  rssi=4  io200=0  io69=1  pdop=4.800000000000001  hdop=4.7  power=0.0  battery=3.809  io68=0  operator=40449  odometer=148  distance=65.41  totalDistance=1.83845634E7,0.0
24,True,2023-09-13 23:46:37,16.9652516,82.2290283,22,7.0 km/h,"16.965252°, 82.229028°",priority=0  sat=4  event=240  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=5.1000000000000005  hdop=4.800000000000001  power=0.0  battery=3.75  io68=0  operator=40449  odometer=214  distance=65.5  totalDistance=1.838449418E7,7.0
25,True,2023-09-13 23:46:37,16.9652516,82.2290283,22,7.0 km/h,"16.965252°, 82.229028°",priority=0  sat=4  event=240  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=5.1000000000000005  hdop=4.800000000000001  power=0.0  battery=3.75  io68=0  operator=40449  odometer=214  distance=3.81  totalDistance=1.83845018E7,7.0
26,True,2023-09-13 23:46:40,16.9652183,82.2290199,21,9.0 km/h,"16.965218°, 82.229020°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.762  io68=0  operator=40449  odometer=217  distance=3.81  totalDistance=1.838449799E7,9.0
27,True,2023-09-13 23:46:40,16.9652183,82.2290199,21,9.0 km/h,"16.965218°, 82.229020°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.762  io68=0  operator=40449  odometer=217  distance=0.0  totalDistance=1.838449799E7,9.0
28,True,2023-09-13 23:46:51,16.9651183,82.2289216,17,12.0 km/h,"16.965118°, 82.228922°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=5.1000000000000005  hdop=5.0  power=0.0  battery=3.782  io68=0  operator=40449  odometer=217  distance=15.28  totalDistance=1.838451327E7,12.0
29,True,2023-09-13 23:47:28,16.9652483,82.228635,22,7.0 km/h,"16.965248°, 82.228635°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=5.1000000000000005  hdop=5.0  power=0.0  battery=3.77  io68=0  operator=40449  odometer=217  distance=33.77  totalDistance=1.838454704E7,7.0
30,True,2023-09-13 23:47:33,16.9653283,82.22839,22,9.0 km/h,"16.965328°, 82.228390°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.727  io68=0  operator=40449  odometer=286  distance=27.56  totalDistance=1.83845746E7,9.0
31,True,2023-09-13 23:47:50,16.9652933,82.2284166,23,8.0 km/h,"16.965293°, 82.228417°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=5.1000000000000005  hdop=5.0  power=0.0  battery=3.753  io68=0  operator=40449  odometer=302  distance=4.82  totalDistance=1.838457942E7,8.0
32,True,2023-09-13 23:48:02,16.9652333,82.2284716,24,6.0 km/h,"16.965233°, 82.228472°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.763  io68=0  operator=40449  odometer=332  distance=8.88  totalDistance=1.83845883E7,6.0
33,True,2023-09-13 23:48:13,16.9652216,82.2285166,23,6.0 km/h,"16.965222°, 82.228517°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.7760000000000002  io68=0  operator=40449  odometer=337  distance=4.97  totalDistance=1.838459327E7,6.0
34,True,2023-09-13 23:48:15,16.9652033,82.2285733,24,7.0 km/h,"16.965203°, 82.228573°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=4.9  hdop=4.800000000000001  power=0.0  battery=3.749  io68=0  operator=40449  odometer=343  distance=6.37  totalDistance=1.838459964E7,7.0
